,symbol,close,tradingDate,symbol,open,tradingDate,Change,Type
178,PNJ,79.0,2021-01-19,PNJ,83.3,2021-01-19,-4.299999999999997,2.0
179,PNJ,83.9,2021-01-18,PNJ,84.5,2021-01-18,-0.5999999999999943,2.0
180,PNJ,82.5,2021-01-15,PNJ,82.1,2021-01-15,0.4000000000000057,1.0
181,PNJ,82.1,2021-01-14,PNJ,83.5,2021-01-14,-1.4000000000000057,2.0
182,PNJ,82.7,2021-01-13,PNJ,83.5,2021-01-13,-0.7999999999999972,2.0
183,PNJ,82.9,2021-01-12,PNJ,82.9,2021-01-12,0.0,3.0
184,PNJ,82.7,2021-01-11,PNJ,83.0,2021-01-11,-0.29999999999999716,2.0
185,PNJ,82.4,2021-01-08,PNJ,82.0,2021-01-08,0.4000000000000057,1.0
186,PNJ,81.6,2021-01-07,PNJ,81.2,2021-01-07,0.3999999999999915,1.0
187,PNJ,81.2,2021-01-06,PNJ,82.0,2021-01-06,-0.7999999999999972,2.0
188,PNJ,81.3,2021-01-05,PNJ,81.0,2021-01-05,0.29999999999999716,1.0
189,PNJ,81.7,2021-01-04,PNJ,81.5,2021-01-04,0.20000000000000284,1.0
190,PNJ,81.0,2020-12-31,PNJ,80.7,2020-12-31,0.29999999999999716,1.0
191,PNJ,80.4,2020-12-30,PNJ,79.0,2020-12-30,1.4000000000000057,1.0
192,PNJ,78.5,2020-12-29,PNJ,78.0,2020-12-29,0.5,1.0
193,PNJ,77.8,2020-12-28,PNJ,78.5,2020-12-28,-0.7000000000000028,2.0
194,PNJ,77.7,2020-12-25,PNJ,76.5,2020-12-25,1.2000000000000028,1.0
195,PNJ,76.9,2020-12-24,PNJ,78.0,2020-12-24,-1.0999999999999943,2.0
196,PNJ,78.0,2020-12-23,PNJ,78.4,2020-12-23,-0.4000000000000057,2.0
197,PNJ,78.3,2020-12-22,PNJ,77.8,2020-12-22,0.5,1.0
198,PNJ,77.3,2020-12-21,PNJ,77.3,2020-12-21,0.0,3.0
199,PNJ,77.3,2020-12-18,PNJ,75.8,2020-12-18,1.5,1.0
200,PNJ,75.8,2020-12-17,PNJ,76.5,2020-12-17,-0.7000000000000028,2.0
201,PNJ,77.6,2020-12-16,PNJ,77.2,2020-12-16,0.3999999999999915,1.0
202,PNJ,77.1,2020-12-15,PNJ,77.9,2020-12-15,-0.8000000000000114,2.0
203,PNJ,77.6,2020-12-14,PNJ,77.5,2020-12-14,0.09999999999999432,1.0
204,PNJ,77.4,2020-12-11,PNJ,76.0,2020-12-11,1.4000000000000057,1.0
205,PNJ,73.0,2020-12-10,PNJ,78.5,2020-12-10,-5.5,2.0
206,PNJ,78.4,2020-12-09,PNJ,78.5,2020-12-09,-0.09999999999999432,2.0
207,PNJ,78.5,2020-12-08,PNJ,78.3,2020-12-08,0.20000000000000284,1.0
208,PNJ,77.9,2020-12-07,PNJ,77.602,2020-12-07,0.2980000000000018,1.0
209,PNJ,77.9,2020-12-04,PNJ,76.908,2020-12-04,0.9920000000000044,1.0
210,PNJ,76.908,2020-12-03,PNJ,76.411,2020-12-03,0.4969999999999999,1.0
211,PNJ,76.411,2020-12-02,PNJ,77.404,2020-12-02,-0.992999999999995,2.0
212,PNJ,77.404,2020-12-01,PNJ,76.411,2020-12-01,0.992999999999995,1.0
213,PNJ,77.305,2020-11-30,PNJ,79.19,2020-11-30,-1.884999999999991,2.0
214,PNJ,78.198,2020-11-27,PNJ,75.618,2020-11-27,2.5799999999999983,1.0
215,PNJ,75.618,2020-11-26,PNJ,75.32,2020-11-26,0.2980000000000018,1.0
216,PNJ,75.618,2020-11-25,PNJ,76.908,2020-11-25,-1.2900000000000063,2.0
217,PNJ,75.32,2020-11-24,PNJ,76.411,2020-11-24,-1.0910000000000082,2.0
218,PNJ,76.114,2020-11-23,PNJ,73.434,2020-11-23,2.680000000000007,1.0
219,PNJ,73.037,2020-11-20,PNJ,73.434,2020-11-20,-0.39699999999999136,2.0
220,PNJ,73.434,2020-11-19,PNJ,73.931,2020-11-19,-0.4969999999999999,2.0
221,PNJ,72.938,2020-11-18,PNJ,73.137,2020-11-18,-0.19899999999999807,2.0
222,PNJ,73.434,2020-11-17,PNJ,72.442,2020-11-17,0.9920000000000044,1.0
223,PNJ,71.549,2020-11-16,PNJ,73.335,2020-11-16,-1.7859999999999872,2.0
224,PNJ,73.236,2020-11-13,PNJ,72.938,2020-11-13,0.2980000000000018,1.0
225,PNJ,73.037,2020-11-12,PNJ,71.35,2020-11-12,1.6870000000000118,1.0
226,PNJ,71.35,2020-11-11,PNJ,72.442,2020-11-11,-1.0919999999999987,2.0
227,PNJ,72.442,2020-11-10,PNJ,73.236,2020-11-10,-0.7940000000000111,2.0
228,PNJ,73.434,2020-11-09,PNJ,73.931,2020-11-09,-0.4969999999999999,2.0
229,PNJ,72.74,2020-11-06,PNJ,72.938,2020-11-06,-0.1980000000000075,2.0
230,PNJ,72.045,2020-11-05,PNJ,72.442,2020-11-05,-0.39699999999999136,2.0
231,PNJ,71.152,2020-11-04,PNJ,70.457,2020-11-04,0.6950000000000074,1.0
232,PNJ,70.457,2020-11-03,PNJ,72.244,2020-11-03,-1.7870000000000061,2.0
233,PNJ,70.954,2020-11-02,PNJ,69.366,2020-11-02,1.5879999999999939,1.0
234,PNJ,68.969,2020-10-30,PNJ,66.984,2020-10-30,1.9849999999999994,1.0
235,PNJ,66.289,2020-10-29,PNJ,65.496,2020-10-29,0.7930000000000064,1.0
236,PNJ,65.496,2020-10-28,PNJ,68.572,2020-10-28,-3.0760000000000076,2.0
237,PNJ,68.87,2020-10-27,PNJ,68.969,2020-10-27,-0.09899999999998954,2.0
238,PNJ,68.473,2020-10-26,PNJ,68.175,2020-10-26,0.2980000000000018,1.0
239,PNJ,67.48,2020-10-23,PNJ,67.976,2020-10-23,-0.4959999999999951,2.0
240,PNJ,67.679,2020-10-22,PNJ,66.686,2020-10-22,0.992999999999995,1.0
241,PNJ,66.488,2020-10-21,PNJ,66.488,2020-10-21,0.0,3.0
242,PNJ,66.488,2020-10-20,PNJ,66.786,2020-10-20,-0.2980000000000018,2.0
243,PNJ,66.984,2020-10-19,PNJ,68.274,2020-10-19,-1.2900000000000063,2.0
244,PNJ,67.58,2020-10-16,PNJ,64.503,2020-10-16,3.076999999999998,1.0
245,PNJ,64.503,2020-10-15,PNJ,62.717,2020-10-15,1.7860000000000014,1.0
246,PNJ,62.419,2020-10-14,PNJ,61.923,2020-10-14,0.4959999999999951,1.0
247,PNJ,62.022,2020-10-13,PNJ,61.526,2020-10-13,0.4959999999999951,1.0
248,PNJ,61.526,2020-10-12,PNJ,62.915,2020-10-12,-1.3889999999999958,2.0
